# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
TPANIC_RS00200	gene-TPANIC_RS00200	TRANSCRIPT_gene-TPANIC_RS00200	protein_coding	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0
TPANIC_RS00205	gene-TPANIC_RS00205	TRANSCRIPT_gene-TPANIC_RS00205	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS00210	gene-TPANIC_RS00210	TRANSCRIPT_gene-TPANIC_RS00210	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS00220	gene-TPANIC_RS00220	TRANSCRIPT_gene-TPANIC_RS00220	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00225	gene-TPANIC_RS00225	TRANSCRIPT_gene-TPANIC_RS00225	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00230	gene-TPANIC_RS00230	TRANSCRIPT_gene-TPANIC_RS00230	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00235	gene-TPANIC_RS00235	TRANSCRIPT_gene-TPANIC_RS00235	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00240	gene-TPANIC_RS00240	TRANSCRIPT_gene-TPANIC_RS00240	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00245	gene-TPANIC_RS00245	TRANSCRIPT_gene-TPANIC_RS00245	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00260	gene-TPANIC_RS00260	TRANSCRIPT_gene-TPANIC_RS00260	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00265	gene-TPANIC_RS00265	TRANSCRIPT_gene-TPANIC_RS00265	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00270	gene-TPANIC_RS00270	TRANSCRIPT_gene-TPANIC_RS00270	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00290	gene-TPANIC_RS00290	TRANSCRIPT_gene-TPANIC_RS00290	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00295	gene-TPANIC_RS00295	TRANSCRIPT_gene-TPANIC_RS00295	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00300	gene-TPANIC_RS00300	TRANSCRIPT_gene-TPANIC_RS00300	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00305	gene-TPANIC_RS00305	TRANSCRIPT_gene-TPANIC_RS00305	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00310	gene-TPANIC_RS00310	TRANSCRIPT_gene-TPANIC_RS00310	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00320	gene-TPANIC_RS00320	TRANSCRIPT_gene-TPANIC_RS00320	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00325	gene-TPANIC_RS00325	TRANSCRIPT_gene-TPANIC_RS00325	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
TPANIC_RS00335	gene-TPANIC_RS00335	TRANSCRIPT_gene-TPANIC_RS00335	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS00340	gene-TPANIC_RS00340	TRANSCRIPT_gene-TPANIC_RS00340	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS00350	gene-TPANIC_RS00350	TRANSCRIPT_gene-TPANIC_RS00350	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00355	gene-TPANIC_RS00355	TRANSCRIPT_gene-TPANIC_RS00355	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1
TPANIC_RS00360	gene-TPANIC_RS00360	TRANSCRIPT_gene-TPANIC_RS00360	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS00365	gene-TPANIC_RS00365	TRANSCRIPT_gene-TPANIC_RS00365	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
TPANIC_RS00370	gene-TPANIC_RS00370	TRANSCRIPT_gene-TPANIC_RS00370	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
TPANIC_RS00375	gene-TPANIC_RS00375	TRANSCRIPT_gene-TPANIC_RS00375	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	1	1
TPANIC_RS00380	gene-TPANIC_RS00380	TRANSCRIPT_gene-TPANIC_RS00380	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS00385	gene-TPANIC_RS00385	TRANSCRIPT_gene-TPANIC_RS00385	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	1
TPANIC_RS00390	gene-TPANIC_RS00390	TRANSCRIPT_gene-TPANIC_RS00390	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	2
TPANIC_RS00395	gene-TPANIC_RS00395	TRANSCRIPT_gene-TPANIC_RS00395	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	2
TPANIC_RS00400	gene-TPANIC_RS00400	TRANSCRIPT_gene-TPANIC_RS00400	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS00405	gene-TPANIC_RS00405	TRANSCRIPT_gene-TPANIC_RS00405	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	1	1
TPANIC_RS00410	gene-TPANIC_RS00410	TRANSCRIPT_gene-TPANIC_RS00410	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS00415	gene-TPANIC_RS00415	TRANSCRIPT_gene-TPANIC_RS00415	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00420	gene-TPANIC_RS00420	TRANSCRIPT_gene-TPANIC_RS00420	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS00425	gene-TPANIC_RS00425	TRANSCRIPT_gene-TPANIC_RS00425	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00430	gene-TPANIC_RS00430	TRANSCRIPT_gene-TPANIC_RS00430	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00435	gene-TPANIC_RS00435	TRANSCRIPT_gene-TPANIC_RS00435	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00440	gene-TPANIC_RS00440	TRANSCRIPT_gene-TPANIC_RS00440	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00520	gene-TPANIC_RS00520	TRANSCRIPT_gene-TPANIC_RS00520	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00525	gene-TPANIC_RS00525	TRANSCRIPT_gene-TPANIC_RS00525	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00530	gene-TPANIC_RS00530	TRANSCRIPT_gene-TPANIC_RS00530	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00540	gene-TPANIC_RS00540	rna-TPANIC_RS00540	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00545	gene-TPANIC_RS00545	rna-TPANIC_RS00545	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00550	gene-TPANIC_RS00550	rna-TPANIC_RS00550	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00555	gene-TPANIC_RS00555	TRANSCRIPT_gene-TPANIC_RS00555	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00565	gene-TPANIC_RS00565	TRANSCRIPT_gene-TPANIC_RS00565	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS00590	gene-TPANIC_RS00590	TRANSCRIPT_gene-TPANIC_RS00590	protein_coding	0	3	6	3	1	0	0	0	1	0	5	0	0	3	2
TPANIC_RS00595	gene-TPANIC_RS00595	TRANSCRIPT_gene-TPANIC_RS00595	protein_coding	0	0	0	12	0	0	0	0	11	0	0	0	0	0	1
TPANIC_RS00600	gene-TPANIC_RS00600	TRANSCRIPT_gene-TPANIC_RS00600	protein_coding	0	0	0	11	0	0	0	0	10	0	0	0	0	0	1
TPANIC_RS00605	gene-TPANIC_RS00605	TRANSCRIPT_gene-TPANIC_RS00605	protein_coding	0	0	0	11	0	0	0	0	10	0	0	0	0	0	1
TPANIC_RS00610	gene-TPANIC_RS00610	TRANSCRIPT_gene-TPANIC_RS00610	protein_coding	0	0	0	11	0	0	0	0	1	0	0	0	0	0	10
TPANIC_RS00615	gene-TPANIC_RS00615	TRANSCRIPT_gene-TPANIC_RS00615	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00620	gene-TPANIC_RS00620	TRANSCRIPT_gene-TPANIC_RS00620	protein_coding	0	0	0	11	0	0	0	0	10	0	0	0	0	0	1
TPANIC_RS00635	gene-TPANIC_RS00635	TRANSCRIPT_gene-TPANIC_RS00635	protein_coding	0	1	0	10	0	0	0	0	0	0	0	0	0	1	10
TPANIC_RS00655	gene-TPANIC_RS00655	TRANSCRIPT_gene-TPANIC_RS00655	protein_coding	0	0	0	12	0	0	0	0	2	0	0	0	0	0	10
TPANIC_RS00665	gene-TPANIC_RS00665	TRANSCRIPT_gene-TPANIC_RS00665	protein_coding	0	0	0	28	0	0	0	0	11	0	0	0	0	0	17
TPANIC_RS00675	gene-TPANIC_RS00675	TRANSCRIPT_gene-TPANIC_RS00675	protein_coding	0	0	0	38	0	0	0	0	9	0	0	0	0	0	29
TPANIC_RS00680	gene-TPANIC_RS00680	TRANSCRIPT_gene-TPANIC_RS00680	protein_coding	0	0	1	29	0	0	0	0	1	0	1	0	0	0	28
TPANIC_RS00690	gene-TPANIC_RS00690	rna-TPANIC_RS00690	protein_coding	0	0	0	29	0	0	0	0	26	0	0	0	0	0	3
TPANIC_RS00695	gene-TPANIC_RS00695	TRANSCRIPT_gene-TPANIC_RS00695	protein_coding	3	2	19	5	0	0	1	0	2	2	18	0	1	2	3
TPANIC_RS00700	gene-TPANIC_RS00700	TRANSCRIPT_gene-TPANIC_RS00700	protein_coding	0	0	0	29	0	0	0	0	29	0	0	0	0	0	0
TPANIC_RS00705	gene-TPANIC_RS00705	TRANSCRIPT_gene-TPANIC_RS00705	protein_coding	0	0	0	29	0	0	0	0	29	0	0	0	0	0	0
TPANIC_RS00710	gene-TPANIC_RS00710	TRANSCRIPT_gene-TPANIC_RS00710	protein_coding	0	0	0	28	0	0	0	0	28	0	0	0	0	0	0
TPANIC_RS00715	gene-TPANIC_RS00715	TRANSCRIPT_gene-TPANIC_RS00715	protein_coding	0	0	0	26	0	0	0	0	0	0	0	0	0	0	26
TPANIC_RS00720	gene-TPANIC_RS00720	TRANSCRIPT_gene-TPANIC_RS00720	protein_coding	0	0	0	25	0	0	0	0	25	0	0	0	0	0	0
TPANIC_RS00725	gene-TPANIC_RS00725	TRANSCRIPT_gene-TPANIC_RS00725	protein_coding	0	0	0	11	0	0	0	0	10	0	0	0	0	0	1
TPANIC_RS00730	gene-TPANIC_RS00730	TRANSCRIPT_gene-TPANIC_RS00730	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS00735	gene-TPANIC_RS00735	TRANSCRIPT_gene-TPANIC_RS00735	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00740	gene-TPANIC_RS00740	rna-TPANIC_RS00740	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS00750	gene-TPANIC_RS00750	TRANSCRIPT_gene-TPANIC_RS00750	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0
TPANIC_RS00755	gene-TPANIC_RS00755	TRANSCRIPT_gene-TPANIC_RS00755	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0
TPANIC_RS00760	gene-TPANIC_RS00760	TRANSCRIPT_gene-TPANIC_RS00760	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00765	gene-TPANIC_RS00765	TRANSCRIPT_gene-TPANIC_RS00765	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00770	gene-TPANIC_RS00770	TRANSCRIPT_gene-TPANIC_RS00770	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00775	gene-TPANIC_RS00775	TRANSCRIPT_gene-TPANIC_RS00775	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00780	gene-TPANIC_RS00780	TRANSCRIPT_gene-TPANIC_RS00780	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS00870	gene-TPANIC_RS00870	TRANSCRIPT_gene-TPANIC_RS00870	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS00875	gene-TPANIC_RS00875	TRANSCRIPT_gene-TPANIC_RS00875	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
TPANIC_RS00880	gene-TPANIC_RS00880	TRANSCRIPT_gene-TPANIC_RS00880	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
TPANIC_RS00885	gene-TPANIC_RS00885	TRANSCRIPT_gene-TPANIC_RS00885	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
TPANIC_RS00890	gene-TPANIC_RS00890	TRANSCRIPT_gene-TPANIC_RS00890	protein_coding	0	1	0	8	0	0	0	0	0	0	0	0	0	1	8
TPANIC_RS00895	gene-TPANIC_RS00895	TRANSCRIPT_gene-TPANIC_RS00895	protein_coding	0	3	5	1	0	0	0	0	1	0	5	0	0	3	0
TPANIC_RS00900	gene-TPANIC_RS00900	TRANSCRIPT_gene-TPANIC_RS00900	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
TPANIC_RS00905	gene-TPANIC_RS00905	TRANSCRIPT_gene-TPANIC_RS00905	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
TPANIC_RS00910	gene-TPANIC_RS00910	TRANSCRIPT_gene-TPANIC_RS00910	protein_coding	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0
TPANIC_RS00925	gene-TPANIC_RS00925	TRANSCRIPT_gene-TPANIC_RS00925	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8
TPANIC_RS01120	gene-TPANIC_RS01120	rna-TPANIC_RS01120	rRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01125	gene-TPANIC_RS01125	rna-TPANIC_RS01125	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01130	gene-TPANIC_RS01130	rna-TPANIC_RS01130	rRNA	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS01140	gene-TPANIC_RS01140	TRANSCRIPT_gene-TPANIC_RS01140	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS01145	gene-TPANIC_RS01145	TRANSCRIPT_gene-TPANIC_RS01145	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
TPANIC_RS01150	gene-TPANIC_RS01150	TRANSCRIPT_gene-TPANIC_RS01150	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS01155	gene-TPANIC_RS01155	TRANSCRIPT_gene-TPANIC_RS01155	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
TPANIC_RS01165	gene-TPANIC_RS01165	TRANSCRIPT_gene-TPANIC_RS01165	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS01170	gene-TPANIC_RS01170	TRANSCRIPT_gene-TPANIC_RS01170	protein_coding	0	0	1	2	0	0	0	0	0	0	1	0	0	0	2
TPANIC_RS01175	gene-TPANIC_RS01175	rna-TPANIC_RS01175	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS01185	gene-TPANIC_RS01185	rna-TPANIC_RS01185	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS01205	gene-TPANIC_RS01205	TRANSCRIPT_gene-TPANIC_RS01205	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS01210	gene-TPANIC_RS01210	TRANSCRIPT_gene-TPANIC_RS01210	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01245	gene-TPANIC_RS01245	TRANSCRIPT_gene-TPANIC_RS01245	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01250	gene-TPANIC_RS01250	TRANSCRIPT_gene-TPANIC_RS01250	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01260	gene-TPANIC_RS01260	TRANSCRIPT_gene-TPANIC_RS01260	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01265	gene-TPANIC_RS01265	TRANSCRIPT_gene-TPANIC_RS01265	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01275	gene-TPANIC_RS01275	TRANSCRIPT_gene-TPANIC_RS01275	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
TPANIC_RS01300	gene-TPANIC_RS01300	TRANSCRIPT_gene-TPANIC_RS01300	protein_coding	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0
TPANIC_RS01305	gene-TPANIC_RS01305	TRANSCRIPT_gene-TPANIC_RS01305	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS01310	gene-TPANIC_RS01310	TRANSCRIPT_gene-TPANIC_RS01310	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS01315	gene-TPANIC_RS01315	TRANSCRIPT_gene-TPANIC_RS01315	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS01320	gene-TPANIC_RS01320	TRANSCRIPT_gene-TPANIC_RS01320	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS01325	gene-TPANIC_RS01325	TRANSCRIPT_gene-TPANIC_RS01325	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS01340	gene-TPANIC_RS01340	rna-TPANIC_RS01340	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01345	gene-TPANIC_RS01345	rna-TPANIC_RS01345	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01350	gene-TPANIC_RS01350	rna-TPANIC_RS01350	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01385	gene-TPANIC_RS01385	TRANSCRIPT_gene-TPANIC_RS01385	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01390	gene-TPANIC_RS01390	TRANSCRIPT_gene-TPANIC_RS01390	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01395	gene-TPANIC_RS01395	TRANSCRIPT_gene-TPANIC_RS01395	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01400	gene-TPANIC_RS01400	TRANSCRIPT_gene-TPANIC_RS01400	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01405	gene-TPANIC_RS01405	TRANSCRIPT_gene-TPANIC_RS01405	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01410	gene-TPANIC_RS01410	TRANSCRIPT_gene-TPANIC_RS01410	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01420	gene-TPANIC_RS01420	TRANSCRIPT_gene-TPANIC_RS01420	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS01430	gene-TPANIC_RS01430	TRANSCRIPT_gene-TPANIC_RS01430	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS01435	gene-TPANIC_RS01435	TRANSCRIPT_gene-TPANIC_RS01435	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
TPANIC_RS01440	gene-TPANIC_RS01440	TRANSCRIPT_gene-TPANIC_RS01440	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01445	gene-TPANIC_RS01445	TRANSCRIPT_gene-TPANIC_RS01445	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01450	gene-TPANIC_RS01450	TRANSCRIPT_gene-TPANIC_RS01450	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01455	gene-TPANIC_RS01455	TRANSCRIPT_gene-TPANIC_RS01455	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
TPANIC_RS01460	gene-TPANIC_RS01460	TRANSCRIPT_gene-TPANIC_RS01460	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS01465	gene-TPANIC_RS01465	TRANSCRIPT_gene-TPANIC_RS01465	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
TPANIC_RS01470	gene-TPANIC_RS01470	TRANSCRIPT_gene-TPANIC_RS01470	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
